trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,-36,-242.6904183545077,"{0: 42, 1: 4, 2: 9, 3: 2, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",25,-22,-99.57230531975345,"{0: 35, 1: 1, 2: 9, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,7,-31.056041277090635,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",20,-6,-17.036985762996096,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,4,-0.1127629175625926,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,-80,-307.4007938007852,"{0: 70, 1: 7, 2: 16, 3: 3, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",30,-1,0.44333901408704257,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,-16,-189.5797983077682,"{0: 24, 1: 1, 2: 5, 3: 3, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,-26,-228.74975391024182,"{0: 36, 1: 4, 2: 5, 3: 1, 4: 5}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",25,-3,-35.43874897966454,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,-15,-104.81019202990406,"{0: 24, 1: 3, 2: 5, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,-1,-141.40319017681892,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 2}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,-39,-83.98692378139842,"{0: 51, 1: 3, 2: 7, 3: 2, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,-2,-56.024793582603124,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,6,-62.65126249476152,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,12,-14.521521348643637,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,-8,-67.68001407784446,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",20,16,8.066407869240887,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
